dataset,community_method,method,variant_type,seed_set,total_spread,mf,dcv,f_score,runtime_seconds,candidate_pool_size,swarm_guidance,crossover,local_search,community_aware_mutation,node2vec_enabled,node2vec_mode,note,ml_guidance_mode,ml_validation_spearman,ml_validation_precision_at_budget,zero_covered_groups_count,bottom_3_avg_group_spread,fraction_groups_covered,weakest_groups_note,community_modularity,num_communities,largest_community_size,smallest_community_size,average_community_size,community_size_std,comparison_baseline_method,delta_f_score
synth2,leiden,degree,baseline,"[102, 105, 138, 139, 141, 173, 18, 185, 196, 206, 225, 227, 233, 250, 259, 261, 262, 301, 348, 72]",23.7,0.0,0.5,-0.25,0.006649499999980435,500,False,False,False,False,False,off,,off,,,1,11.85,0.5,"0,1",0.4024841566484994,11,130,1,45.45454545454545,39.923480528639544,hybrid_siea_ml_two_tier_tuned_fairness_full,-0.2721255605381166
synth2,leiden,pagerank,baseline,"[102, 105, 138, 139, 141, 173, 18, 196, 206, 227, 233, 250, 259, 261, 262, 301, 348, 375, 39, 72]",23.0,0.007,0.42391304347826086,-0.20845652173913043,0.01055810000002566,500,False,False,False,False,False,off,,off,,,0,11.5,1.0,"0,1",0.4024841566484994,11,130,1,45.45454545454545,39.923480528639544,hybrid_siea_ml_two_tier_tuned_fairness_full,-0.23058208227724702
synth2,leiden,community_round_robin,baseline,"[105, 139, 141, 160, 173, 18, 206, 233, 250, 254, 301, 318, 342, 348, 375, 437, 464, 487, 63, 72]",22.8,0.02766666666666667,0.19663742690058475,-0.08448538011695904,0.008885599999985061,500,False,False,False,True,False,off,,off,,,0,11.399999999999999,1.0,"0,1",0.4024841566484994,11,130,1,45.45454545454545,39.923480528639544,hybrid_siea_ml_two_tier_tuned_fairness_full,-0.10661094065507563
synth2,leiden,random,baseline,"[136, 137, 140, 156, 188, 289, 290, 301, 329, 331, 384, 405, 419, 425, 435, 438, 45, 475, 477, 81]",22.05,0.039,0.05782312925170063,-0.009411564625850317,0.003591499999970438,500,False,False,False,False,False,off,,off,,,0,11.025,1.0,"1,0",0.4024841566484994,11,130,1,45.45454545454545,39.923480528639544,hybrid_siea_ml_two_tier_tuned_fairness_full,-0.03153712516396691
synth2,leiden,cea_fim,comparator,"[102, 141, 160, 18, 206, 211, 233, 237, 238, 261, 291, 301, 342, 375, 406, 464, 479, 485, 487, 63]",21.85,0.04266666666666667,0.011823035850495822,0.015421815408085425,1.5757373000000143,500,False,True,False,True,False,off,CEA-style baseline: community EA without swarm guidance or local search.; history=synth2_budget20_leiden_cea_fim_history.csv,off,,,0,10.925,1.0,"0,1",0.4024841566484994,11,130,1,45.45454545454545,39.923480528639544,hybrid_siea_ml_two_tier_tuned_fairness_full,-0.006703745130031167
synth2,leiden,hybrid_siea,proposed,"[102, 124, 139, 206, 233, 237, 250, 261, 271, 301, 342, 348, 365, 375, 406, 442, 451, 485, 53, 72]",22.7,0.04533333333333333,0.0007342143906020401,0.022299559471365644,39.80042079999998,500,True,True,True,True,False,off,history=synth2_budget20_leiden_hybrid_siea_history.csv,off,,,0,11.35,1.0,"0,1",0.4024841566484994,11,130,1,45.45454545454545,39.923480528639544,hybrid_siea_ml_two_tier_tuned_fairness_full,0.00017399893324905255
synth2,leiden,ml_topk,ml_baseline,"[116, 117, 180, 183, 197, 22, 246, 250, 282, 290, 299, 313, 345, 364, 48, 489, 49, 54, 63, 80]",21.55,0.015333333333333332,0.32211910286156226,-0.15339288476411447,1.2649008999999296,500,False,False,False,False,False,off,ML ranking baseline; spearman=0.294045; precision_at_budget=0.450000; label_variance=0.018723,off,0.29404500697017416,0.45,0,10.775,1.0,"0,1",0.4024841566484994,11,130,1,45.45454545454545,39.923480528639544,hybrid_siea_ml_two_tier_tuned_fairness_full,-0.17551844530223107
synth2,leiden,hybrid_siea_ml_two_tier_tuned,ml_guided,"[102, 105, 115, 138, 196, 206, 233, 28, 29, 301, 337, 340, 345, 375, 451, 452, 458, 489, 493, 72]",22.1,0.04414285714285714,0.000646412411118337,0.021748222365869402,38.600981299999944,500,True,True,True,True,False,off,ML guidance mode=two_tier; full_pool=500; tier_policy=tuned; spearman=0.294045; precision_at_budget=0.450000; label_variance=0.018723; history=synth2_budget20_leiden_hybrid_siea_ml_two_tier_tuned_history.csv,two_tier,0.29404500697017416,0.45,0,11.05,1.0,"1,0",0.4024841566484994,11,130,1,45.45454545454545,39.923480528639544,hybrid_siea_ml_two_tier_tuned_fairness_full,-0.0003773381722471901
synth2,leiden,hybrid_siea_ml_two_tier_tuned_fairness_full,refinement_baseline,"[102, 105, 150, 160, 18, 180, 211, 227, 233, 246, 250, 282, 348, 375, 413, 462, 464, 487, 493, 72]",22.3,0.04457142857142857,0.0003203074951953808,0.022125560538116592,12.219484399999942,500,True,True,True,True,False,off,Current best fairness-focused method before the new refinement study.; ML guidance mode=two_tier; full_pool=500; spearman=0.294045; precision_at_budget=0.450000; label_variance=0.018723; history=synth2_budget20_leiden_hybrid_siea_ml_two_tier_tuned_fairness_full_history.csv,two_tier,0.29404500697017416,0.45,0,11.15,1.0,"1,0",0.4024841566484994,11,130,1,45.45454545454545,39.923480528639544,hybrid_siea_ml_two_tier_tuned_fairness_full,0.0
synth2,leiden,hybrid_siea_ml_two_tier_tuned_marginal_gain,refinement_variant,"[100, 102, 105, 124, 139, 160, 180, 206, 246, 301, 313, 318, 348, 364, 375, 388, 449, 451, 487, 72]",21.85,0.043666666666666666,0.00038138825324185975,0.021642639206712402,22.812346100000127,500,True,True,True,True,False,off,Current best method plus marginal fairness-gain candidate scoring.; ML guidance mode=two_tier; full_pool=500; spearman=0.294045; precision_at_budget=0.450000; label_variance=0.018723; history=synth2_budget20_leiden_hybrid_siea_ml_two_tier_tuned_marginal_gain_history.csv,two_tier,0.29404500697017416,0.45,0,10.925,1.0,"0,1",0.4024841566484994,11,130,1,45.45454545454545,39.923480528639544,hybrid_siea_ml_two_tier_tuned_fairness_full,-0.00048292133140418955
