node_id,ris_global_score,fair_ris_score
1007,0.0,0.0
1009,0.0,0.0
1025,0.0,0.0
1048,0.3333333333333333,0.19999999999999998
1049,0.3333333333333333,0.19999999999999998
1074,0.0,0.0
1092,0.0,0.0
1097,0.0,0.0
11,0.0,0.0
1119,0.0,0.0
1131,0.0,0.0
1137,0.0,0.0
1138,0.0,0.0
1155,0.0,0.0
1159,0.0,0.0
1175,0.0,0.0
1190,0.0,0.0
1197,0.3333333333333333,0.19999999999999998
1198,0.0,0.0
12,0.0,0.0
1209,0.0,0.0
1215,0.0,0.0
1216,0.0,0.0
1228,0.3333333333333333,0.39999999999999997
1234,0.0,0.0
1235,0.0,0.0
1237,0.0,0.0
1240,0.0,0.0
1245,0.0,0.0
1261,0.0,0.0
1264,0.0,0.0
1267,0.0,0.0
1291,0.0,0.0
13,0.3333333333333333,0.39999999999999997
1315,0.0,0.0
1318,0.0,0.0
1324,0.0,0.0
1326,0.0,0.0
1335,0.0,0.0
1336,0.6666666666666666,0.39999999999999997
134,0.0,0.0
1348,0.0,0.0
135,0.0,0.0
1424,0.0,0.0
1448,0.6666666666666666,0.39999999999999997
1477,0.3333333333333333,0.19999999999999998
1494,0.0,0.0
1499,0.3333333333333333,0.19999999999999998
1506,0.0,0.0
1512,0.0,0.0
1520,0.0,0.0
1528,0.3333333333333333,0.19999999999999998
1540,0.0,0.0
1550,0.3333333333333333,0.39999999999999997
1561,0.0,0.0
1587,0.0,0.0
1593,0.3333333333333333,0.39999999999999997
1595,0.0,0.0
16,0.0,0.0
1616,0.0,0.0
1625,0.0,0.0
1628,0.3333333333333333,0.19999999999999998
1650,0.0,0.0
1674,0.0,0.0
1682,0.0,0.0
1691,0.0,0.0
1714,0.0,0.0
1718,0.0,0.0
1729,0.0,0.0
1771,0.3333333333333333,0.19999999999999998
1792,0.3333333333333333,0.19999999999999998
1795,0.0,0.0
180,0.0,0.0
1809,0.3333333333333333,0.19999999999999998
1822,0.0,0.0
1847,0.0,0.0
1849,0.0,0.0
1875,0.0,0.0
1897,0.0,0.0
1901,0.3333333333333333,0.19999999999999998
1931,0.0,0.0
1938,0.0,0.0
1942,0.0,0.0
1967,0.0,0.0
1971,0.0,0.0
1973,0.0,0.0
1978,0.0,0.0
1984,0.0,0.0
1985,0.3333333333333333,0.39999999999999997
1999,0.0,0.0
20,0.3333333333333333,0.19999999999999998
2014,0.0,0.0
2016,0.0,0.0
205,0.0,0.0
2053,0.0,0.0
2055,0.0,0.0
2073,0.0,0.0
2089,0.0,0.0
2113,0.0,0.0
2121,0.3333333333333333,0.19999999999999998
2164,0.3333333333333333,0.19999999999999998
2170,0.0,0.0
2196,0.0,0.0
220,0.0,0.0
2216,0.0,0.0
2234,0.3333333333333333,0.19999999999999998
2284,0.0,0.0
2289,0.0,0.0
